id_certificado,nro_certificado,fecha_aplicacion,fecha_vencimiento,hora_aplicacion,proximo_tratamiento,estado,id_cliente,created_ad,updated_ad,id_rubro,id_tratamiento,id_vector,superfice,id_drogas,codigo,id_tipo_cliente,observaciones_certificado,id_tecnico,,
147,2913,12/11/2014,12/2/2015,17:00:00,12/2/2015,1,1661,,,1,1,1,H/300,1,400.00,,2,,,
148,2904,11/11/2014,11/2/2015,13:00:00,11/2/2015,1,1958,,,1,1,1,H/300,1,100.00,,1,,,
149,2916,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,1965,,,1,1,1,H/300,1,100.00,,1,,,
150,2917,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,141,,,1,1,1,H/300,1,100.00,,1,,,
151,2918,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,786,,,1,1,1,H/300,1,100.00,,1,,,
152,2919,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,1298,,,1,1,1,H/300,1,100.00,,1,,,
153,2920,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,1260,,,1,1,1,H/300,1,100.00,,1,,,
154,2921,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,1453,,,1,1,1,H/300,1,100.00,,1,,,
155,28041,11/11/2014,11/12/2014,21:30:31,11/12/2014,1,2599,,,1,1,1,,1,1000.00,,2,,,
156,3832,11/11/2014,11/1/2015,0:00:00,11/1/2015,1,1853,,,1,1,1,H/300 M2,1,500.00,,2,,,
157,4058,11/11/2014,11/1/2015,0:00:00,11/1/2015,1,2080,,,1,1,1,H/300,1,120.00,,2,,,
158,3688,11/11/2014,11/12/2014,20:00:00,11/12/2014,1,2563,,,1,1,1,H/300,1,700.00,,2,,,
159,2927,12/11/2014,12/2/2015,21:30:00,12/2/2015,1,1614,,,1,1,1,H/300,1,350.00,,2,,,
160,2929,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,2095,,,1,1,1,H/300,1,100.00,,1,,,
161,2926,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,1285,,,1,1,1,H/300,1,100.00,,1,,,
162,2928,12/11/2014,12/2/2015,13:00:00,12/2/2015,1,1983,,,1,1,1,H/300,1,100.00,,1,,,
163,2930,12/11/2014,12/2/2015,22:00:00,12/2/2015,1,848,,,1,1,1,H/300,1,350.00,,2,,,
164,2931,12/11/2014,12/2/2015,22:00:00,12/2/2015,1,849,,,1,1,1,H/300,1,350.00,,2,,,
165,2932,12/11/2014,12/2/2015,20:30:00,12/2/2015,1,1439,,,1,1,1,H/300,1,500.00,,2,,,
166,3153,28/11/2014,28/12/2014,10:00:00,28/12/2014,1,2561,,,1,1,1,H/300,1,400.00,,2,,,
167,2934,13/11/2014,12/2/2015,13:00:00,12/2/2015,1,2508,,,1,1,1,H/300,1,100.00,,1,,,
168,2935,13/11/2014,12/2/2015,13:00:00,12/2/2015,1,499,,,1,1,1,H/300,1,100.00,,1,,,
169,2936,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,2267,,,1,1,1,H/300,1,100.00,,1,,,
170,2937,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,1518,,,1,1,1,H/300,1,100.00,,1,,,
171,2938,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,2657,,,1,1,1,H/300,1,100.00,,1,,,
172,2939,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,517,,,1,1,1,H/300,1,100.00,,1,,,
173,2940,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,2338,,,1,1,1,H/300,1,100.00,,1,,,
174,2941,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,1715,,,1,1,1,H/300,1,100.00,,1,,,
175,2942,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,370,,,1,1,1,H/300,1,100.00,,1,,,
176,2943,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,2655,,,1,1,1,H/300,1,300.00,,2,,,
177,2945,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,417,,,1,1,1,H/300,1,100.00,,1,,,
178,2946,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,2243,,,1,1,1,H/300,1,100.00,,1,,,
179,2947,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,1555,,,1,1,1,H/300,1,100.00,,1,,,
180,2948,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,1821,,,1,1,1,H/300,1,400.00,,2,,,
181,2949,13/11/2014,13/2/2015,13:00:00,13/2/2015,1,2656,,,1,1,1,H/300,1,100.00,,1,,,
182,2951,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,725,,,1,1,1,H/300,1,100.00,,1,,,
183,2952,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,308,,,1,1,1,H/300,1,100.00,,1,,,
184,2953,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,521,,,1,1,1,H/300,1,600.00,,2,,,
185,2954,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,937,,,1,1,1,H/300,1,100.00,,1,,,
186,2955,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,513,,,1,1,1,H/300,1,100.00,,1,,,
187,2956,14/11/2014,14/2/2015,21:30:00,14/2/2015,1,386,,,1,1,1,H/300,1,280.00,,2,,,
188,2957,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,1457,,,1,1,1,H/300,1,100.00,,1,,,
189,2958,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,718,,,1,1,1,H/300,1,100.00,,1,,,
190,2959,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,1677,,,1,1,1,H/300,1,100.00,,1,,,
191,2960,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,1809,,,1,1,1,H/300,1,100.00,,1,,,
192,2961,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,1808,,,1,1,1,H/300,1,100.00,,1,,,
193,2952,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,308,,,1,1,1,H/300,1,100.00,,1,,,
194,2962,14/11/2014,14/2/2015,13:00:00,14/2/2015,1,1033,,,1,1,1,H/300,1,100.00,,1,,,
195,2964,14/11/2014,14/12/2014,13:00:00,14/12/2014,1,1206,,,1,1,1,H/300,1,350.00,,2,,,
196,2965,14/11/2014,14/2/2015,21:00:00,14/2/2015,1,1801,,,1,1,1,H/300,1,450.00,,2,,,
197,2966,14/11/2014,14/2/2015,22:00:00,14/2/2015,1,1815,,,1,1,1,H/300,1,450.00,,2,,,
198,2967,14/11/2014,14/2/2015,23:40:00,14/2/2015,1,497,,,1,1,1,H/300,1,300.00,,2,,,
199,2968,15/11/2014,15/2/2015,11:40:00,15/2/2015,1,262,,,1,1,1,H/300,1,300.00,,2,,,
200,2969,15/11/2014,15/2/2015,13:00:00,15/2/2015,1,67,,,1,1,1,H/300,1,400.00,,2,,,
201,3687,15/11/2014,15/2/2015,20:30:00,15/2/2015,1,2561,,,1,1,1,H/300,1,400.00,,2,,,
202,3686,15/11/2014,15/2/2015,12:30:00,15/2/2015,1,1182,,,1,1,1,H/300,1,200.00,,2,,,
203,3684,15/11/2014,15/2/2015,13:00:00,15/2/2015,1,1185,,,1,1,1,H/300,1,350.00,,1,,,
204,3683,15/11/2014,15/2/2015,19:31:31,15/2/2015,1,1186,,,1,1,1,H/300,1,280.00,,1,,,
205,3388,15/11/2014,15/2/2015,21:30:00,15/2/2015,1,1485,,,1,1,1,300  M2,1,350.00,,2,,,
206,2976,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,2660,,,1,1,1,H/300,1,100.00,,1,,,
207,2977,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,541,,,1,1,1,H/300,1,100.00,,1,,,
208,2978,17/11/2014,17/2/2015,11:00:00,17/2/2015,1,2329,,,1,1,1,H/300,1,800.00,,2,,,
209,2979,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,1807,,,1,1,1,H/300,1,100.00,,1,,,
210,2980,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,2142,,,1,1,1,H/300,1,100.00,,1,,,
211,2981,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,2216,,,1,1,1,H/300,1,100.00,,1,,,
212,2982,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,905,,,1,1,1,H/300,1,100.00,,1,,,
213,2983,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,876,,,1,1,1,H/300,1,100.00,,1,,,
214,2984,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,1572,,,1,1,1,H/300,1,100.00,,1,,,
215,2985,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,908,,,1,1,1,H/300,1,100.00,,1,,,
216,2986,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,2222,,,1,1,1,H/300,1,100.00,,1,,,
217,2987,17/11/2014,17/2/2015,13:00:00,17/2/2015,1,844,,,1,1,1,H/300,1,100.00,,1,,,
